,Auction House,Value Sold,Number Sold,name_raw,,sold
3,"Lawson~Menzies (now trading as Menzies), South Yarra VIC","$5,523",1,"Crowley, Grace",,5523
4,"Davidson Auctions, Annandale NSW","$4,925",2,"Crowley, Grace",,4925
5,Aust. Art Auctions,"$4,620",2,"Crowley, Grace",,4620
6,Deutscher~Menzies,"$4,600",1,"Crowley, Grace",,4600
7,"Shapiro Auctioneers, Woollahra NSW","$1,380",1,"Crowley, Grace",,1380
8,"GFL Fine Art, Nedlands WA",$935,1,"Crowley, Grace",,935
9,"Leonard Joel, Prahran VIC",$850,1,"Crowley, Grace",,850
10,Mason Gray,$150,1,"Crowley, Grace",,150
0,"Leonard Joel, Prahran VIC","$640,419",186,"Cumbrae Stewart, Janet",,640419
1,Sotheby's,"$428,551",29,"Cumbrae Stewart, Janet",,428551
2,Christies,"$318,239",38,"Cumbrae Stewart, Janet",,318239
3,Deutscher~Menzies,"$160,236",15,"Cumbrae Stewart, Janet",,160236
4,"Menzies, Kensington NSW","$156,723",14,"Cumbrae Stewart, Janet",,156723
5,"Lawson~Menzies (now trading as Menzies), South Yarra VIC","$118,443",20,"Cumbrae Stewart, Janet",,118443
6,"Mossgreen Auctions, Armadale VIC","$69,336",10,"Cumbrae Stewart, Janet",,69336
7,"Lawsons, Leichhardt NSW","$47,535",9,"Cumbrae Stewart, Janet",,47535
